Time (s),AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Sampling Rate
0.0000000000e+000,4.1611538086e+003,4.1330771484e+003,4.1015385742e+003,4.0730769043e+003,4.1089741211e+003,4.0650000000e+003,4.0735898438e+003,4.0548718262e+003,4.0661538086e+003,4.1035898438e+003,4.0907692871e+003,4.1265385742e+003,4.1085898438e+003,4.1321796875e+003,128
7.8125000000e-003,4.3351284180e+003,4.3273076172e+003,4.2732050781e+003,4.2646152344e+003,4.2620512695e+003,4.2437177734e+003,4.2491025391e+003,4.2426923828e+003,4.2439741211e+003,4.3051284180e+003,4.2948715820e+003,4.3079487305e+003,4.2993588867e+003,4.3103847656e+003,
1.5625000000e-002,4.2650000000e+003,4.2623076172e+003,4.2258974609e+003,4.2046152344e+003,4.2275639648e+003,4.1962822266e+003,4.2015385742e+003,4.2016665039e+003,4.2039741211e+003,4.2566665039e+003,4.2333334961e+003,4.2520512695e+003,4.2574360352e+003,4.2491025391e+003,
2.3437500000e-002,4.2364101563e+003,4.2302563477e+003,4.1996152344e+003,4.1782050781e+003,4.2042309570e+003,4.1732050781e+003,4.1778203125e+003,4.1750000000e+003,4.1803847656e+003,4.2303847656e+003,4.2047436523e+003,4.2279487305e+003,4.2292309570e+003,4.2219228516e+003,
3.1250000000e-002,4.2216665039e+003,4.2152563477e+003,4.1855126953e+003,4.1655126953e+003,4.1912822266e+003,4.1632050781e+003,4.1658974609e+003,4.1615385742e+003,4.1670512695e+003,4.2178203125e+003,4.1916665039e+003,4.2170512695e+003,4.2124360352e+003,4.2087177734e+003,
3.9062500000e-002,4.2288461914e+003,4.2337177734e+003,4.2003847656e+003,4.1778203125e+003,4.2117949219e+003,4.1803847656e+003,4.1801284180e+003,4.1770512695e+003,4.1755126953e+003,4.2269228516e+003,4.2032050781e+003,4.2333334961e+003,4.2169228516e+003,4.2201284180e+003,
4.6875000000e-002,4.3125639648e+003,4.3291025391e+003,4.2962822266e+003,4.2692309570e+003,4.3219228516e+003,4.2752563477e+003,4.2724360352e+003,4.2712822266e+003,4.2735898438e+003,4.3221796875e+003,4.3050000000e+003,4.3232050781e+003,4.3114101563e+003,4.3064101563e+003,
5.4687500000e-002,4.3266665039e+003,4.3451284180e+003,4.3107690430e+003,4.2855126953e+003,4.3344873047e+003,4.2912822266e+003,4.2882050781e+003,4.2885898438e+003,4.2930771484e+003,4.3464101563e+003,4.3300000000e+003,4.3389741211e+003,4.3328203125e+003,4.3225639648e+003,
6.2500000000e-002,4.3202563477e+003,4.3424360352e+003,4.3065385742e+003,4.2820512695e+003,4.3244873047e+003,4.2871796875e+003,4.2853847656e+003,4.2867949219e+003,4.2912822266e+003,4.3496152344e+003,4.3324360352e+003,4.3365385742e+003,4.3344873047e+003,4.3208974609e+003,
7.0312500000e-002,4.2837177734e+003,4.3175639648e+003,4.2782050781e+003,4.2546152344e+003,4.2906411133e+003,4.2606411133e+003,4.2602563477e+003,4.2633334961e+003,4.2644873047e+003,4.3246152344e+003,4.2997436523e+003,4.3108974609e+003,4.3116665039e+003,4.2950000000e+003,
7.8125000000e-002,4.2756411133e+003,4.3135898438e+003,4.2726923828e+003,4.2512822266e+003,4.2883334961e+003,4.2594873047e+003,4.2570512695e+003,4.2616665039e+003,4.2624360352e+003,4.3196152344e+003,4.2894873047e+003,4.3073076172e+003,4.3066665039e+003,4.2885898438e+003,
8.5937500000e-002,4.2783334961e+003,4.3161538086e+003,4.2758974609e+003,4.2571796875e+003,4.2946152344e+003,4.2674360352e+003,4.2623076172e+003,4.2682050781e+003,4.2701284180e+003,4.3239741211e+003,4.2919228516e+003,4.3132050781e+003,4.3088461914e+003,4.2905126953e+003,
