Time (s);AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;Sampling Rate
0.0000000000e+000;4.9764101563e+003;5.1100000000e+003;5.0514101563e+003;5.0743588867e+003;5.1506411133e+003;5.0450000000e+003;5.0284614258e+003;5.0333334961e+003;5.0185898438e+003;4.9355126953e+003;5.0578203125e+003;5.0233334961e+003;5.0169228516e+003;5.0160258789e+003;128
7.8125000000e-003;5.0834614258e+003;5.2202563477e+003;5.1576923828e+003;5.1767949219e+003;5.2617949219e+003;5.1475639648e+003;5.1335898438e+003;5.1374360352e+003;5.1279487305e+003;5.0466665039e+003;5.1611538086e+003;5.1261538086e+003;5.1243588867e+003;5.1205126953e+003;
1.5625000000e-002;5.1908974609e+003;5.3356411133e+003;5.2671796875e+003;5.2837177734e+003;5.3755126953e+003;5.2519228516e+003;5.2382050781e+003;5.2498715820e+003;5.2455126953e+003;5.1660258789e+003;5.2714101563e+003;5.2344873047e+003;5.2374360352e+003;5.2279487305e+003;
2.3437500000e-002;5.1515385742e+003;5.3288461914e+003;5.2630771484e+003;5.2715385742e+003;5.3588461914e+003;5.2264101563e+003;5.2133334961e+003;5.2557690430e+003;5.2453847656e+003;5.1870512695e+003;5.2894873047e+003;5.2360258789e+003;5.2287177734e+003;5.2193588867e+003;
3.1250000000e-002;5.1251284180e+003;5.3069228516e+003;5.2414101563e+003;5.2489741211e+003;5.3351284180e+003;5.2034614258e+003;5.1910258789e+003;5.2339741211e+003;5.2215385742e+003;5.1674360352e+003;5.2698715820e+003;5.2158974609e+003;5.2070512695e+003;5.1993588867e+003;
3.9062500000e-002;4.8971796875e+003;5.0792309570e+003;5.0225639648e+003;5.0165385742e+003;5.1039741211e+003;4.9858974609e+003;4.9725639648e+003;5.0144873047e+003;5.0117949219e+003;4.9405126953e+003;5.0253847656e+003;4.9983334961e+003;4.9898715820e+003;4.9805126953e+003;
4.6875000000e-002;4.7312822266e+003;4.8892309570e+003;4.8589741211e+003;4.8570512695e+003;4.9130771484e+003;4.8201284180e+003;4.8148715820e+003;4.8360258789e+003;4.8287177734e+003;4.7619228516e+003;4.8534614258e+003;4.8264101563e+003;4.8178203125e+003;4.8085898438e+003;
5.4687500000e-002;4.7356411133e+003;4.8908974609e+003;4.8638461914e+003;4.8597436523e+003;4.9162822266e+003;4.8270512695e+003;4.8212822266e+003;4.8402563477e+003;4.8265385742e+003;4.7634614258e+003;4.8617949219e+003;4.8335898438e+003;4.8176923828e+003;4.8147436523e+003;
6.2500000000e-002;4.6057690430e+003;4.7548715820e+003;4.7334614258e+003;4.7293588867e+003;4.7973076172e+003;4.7151284180e+003;4.6991025391e+003;4.7152563477e+003;4.6903847656e+003;4.6211538086e+003;4.7265385742e+003;4.7026923828e+003;4.6824360352e+003;4.6858974609e+003;
7.0312500000e-002;4.4452563477e+003;4.5910258789e+003;4.5638461914e+003;4.5850000000e+003;4.6382050781e+003;4.5823076172e+003;4.5612822266e+003;4.5538461914e+003;4.5288461914e+003;4.4608974609e+003;4.5638461914e+003;4.5424360352e+003;4.5265385742e+003;4.5306411133e+003;
7.8125000000e-002;4.4256411133e+003;4.5694873047e+003;4.5434614258e+003;4.5642309570e+003;4.6183334961e+003;4.5684614258e+003;4.5464101563e+003;4.5337177734e+003;4.5098715820e+003;4.4423076172e+003;4.5428203125e+003;4.5250000000e+003;4.5075639648e+003;4.5144873047e+003;
8.5937500000e-002;4.4610258789e+003;4.5938461914e+003;4.5756411133e+003;4.5967949219e+003;4.6526923828e+003;4.6025639648e+003;4.5755126953e+003;4.5650000000e+003;4.5453847656e+003;4.4816665039e+003;4.5666665039e+003;4.5485898438e+003;4.5407690430e+003;4.5424360352e+003;
9.3750000000e-002;4.5293588867e+003;4.6601284180e+003;4.6401284180e+003;4.6633334961e+003;4.7191025391e+003;4.6688461914e+003;4.6412822266e+003;4.6296152344e+003;4.6116665039e+003;4.5512822266e+003;4.6338461914e+003;4.6100000000e+003;4.6039741211e+003;4.6051284180e+003;
1.0156250000e-001;4.8520512695e+003;4.9883334961e+003;4.9534614258e+003;4.9623076172e+003;5.0446152344e+003;4.9829487305e+003;4.9589741211e+003;4.9455126953e+003;4.9320512695e+003;4.8816665039e+003;4.9569228516e+003;4.9221796875e+003;4.9192309570e+003;4.9205126953e+003;
1.0937500000e-001;5.1030771484e+003;5.2456411133e+003;5.2015385742e+003;5.1961538086e+003;5.3014101563e+003;5.2234614258e+003;5.2034614258e+003;5.1950000000e+003;5.1830771484e+003;5.1415385742e+003;5.2096152344e+003;5.1710258789e+003;5.1720512695e+003;5.1697436523e+003;
1.1718750000e-001;5.8347436523e+003;6.0111538086e+003;5.9406411133e+003;5.9173076172e+003;6.0619228516e+003;5.9215385742e+003;5.9070512695e+003;5.9394873047e+003;5.9219228516e+003;5.9275639648e+003;5.9785898438e+003;5.9212822266e+003;5.9284614258e+003;5.9135898438e+003;
1.2500000000e-001;5.9370512695e+003;6.1332050781e+003;6.0528203125e+003;6.0282050781e+003;6.1757690430e+003;6.0266665039e+003;6.0089741211e+003;6.0589741211e+003;6.0369228516e+003;6.0571796875e+003;6.1012822266e+003;6.0405126953e+003;6.0442309570e+003;6.0288461914e+003;
1.3281250000e-001;5.9370512695e+003;6.1526923828e+003;6.0657690430e+003;6.0375639648e+003;6.1846152344e+003;6.0375639648e+003;6.0166665039e+003;6.0798715820e+003;6.0535898438e+003;6.0828203125e+003;6.1169228516e+003;6.0591025391e+003;6.0591025391e+003;6.0432050781e+003;
1.4062500000e-001;5.8689741211e+003;6.0988461914e+003;6.0111538086e+003;5.9785898438e+003;6.1211538086e+003;5.9823076172e+003;5.9614101563e+003;6.0292309570e+003;6.0000000000e+003;6.0328203125e+003;6.0560258789e+003;6.0060258789e+003;6.0044873047e+003;5.9865385742e+003;
1.4843750000e-001;5.7637177734e+003;6.0005126953e+003;5.9269228516e+003;5.8964101563e+003;6.0189741211e+003;5.8820512695e+003;5.8739741211e+003;5.9342309570e+003;5.9062822266e+003;5.9419228516e+003;5.9728203125e+003;5.9076923828e+003;5.9061538086e+003;5.8932050781e+003;
